[     0.0s 14:16:39] FIXED-mode pipeline -> /home/joebachir20/replication_kit/method_reconstruction/pipeline/runs_parallel/20260714_141639
[     0.0s 14:16:39] workers: [('uncapped_sub89', 'lns', None), ('depth5_sub90', 'lns', 5)]
[  2039.9s 14:50:39] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  2057.0s 14:50:56] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  2077.1s 14:51:16] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  2094.2s 14:51:33] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  2114.2s 14:51:53] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  2131.3s 14:52:11] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  2148.4s 14:52:28] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  2168.4s 14:52:48] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  2185.5s 14:53:05] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  2205.5s 14:53:25] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  2222.6s 14:53:42] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  2239.7s 14:53:59] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  2259.7s 14:54:19] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  2276.8s 14:54:36] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  2293.9s 14:54:53] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  2313.9s 14:55:13] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
[  2331.1s 14:55:30] status: uncapped_sub89=89/5(up)  depth5_sub90=89/5(up)
